,1.1.1) Internet users,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
206,7.6,3.92,3651.0,99.1,39.1,10.3,0.0,0.0,46.15,0.99,26.4,16.408,13.579,13.58,4140.0,5684.0,3.0,0.0,0.0,1.0,1.0,82.0,7.0,0.0,30.5,2.7,0.0,3.0,2.0,42.0,52.0,42.0,36.0,55.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,12.1,33.7,35.4,21.7,2.2,3.1,27.0,4.0,0.1,9.8,23.0,10.0,1100.0
207,8.9,5.31,8771.0,99.1,39.1,10.3,0.0,0.0,46.15,0.99,29.1,6.949,11.692,11.69,4358.0,5710.0,2.0,0.0,0.0,1.0,1.0,82.0,7.0,0.0,30.5,2.6,0.0,3.0,2.0,42.0,52.0,42.0,36.0,55.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,12.4,33.7,44.0,1.7,2.1,3.1,27.0,4.0,0.2,11.4,23.0,15.0,1127.0
208,8.9,7.28,5710.0,79.0,31.0,18.5,0.0,0.0,53.1,12.2,31.9,5.272,11.692,11.69,4435.0,5526.0,3.0,0.0,0.0,1.0,1.0,82.0,14.3,0.0,30.5,2.7,0.0,3.0,2.0,42.0,52.0,42.0,36.0,55.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,12.8,33.7,44.0,1.7,2.1,3.1,28.0,4.0,0.2,21.8,32.0,18.0,1213.0
209,13.0,10.24,5710.0,87.0,40.0,29.0,0.0,0.0,83.9,23.7,33.3,5.356,11.692,11.69,4377.0,5497.0,3.0,0.0,0.0,1.0,1.0,92.0,14.3,0.0,30.5,2.7,0.0,3.0,2.0,40.0,46.0,20.0,12.0,58.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,13.1,33.7,44.0,1.7,2.1,3.1,29.0,4.0,0.3,21.8,29.0,16.0,1250.0
210,22.8,5.19,16484.0,99.87,83.12,18.0,1.0,0.0,97.3,79.9,39.8,9.75,12.816,18.06,5105.0,3258.0,3.0,2.0,2.0,1.0,1.0,96.0,30.5,1.0,87.9,6.3,1.0,0.0,0.0,62.0,30.0,36.0,22.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,8.7,51.1,91.6,42.4,2.3,5.8,31.0,5.1,0.4,27.1,49.0,36.0,197379.0
211,24.6,5.47,31500.0,86.14,61.28,42.55,1.0,0.0,81.29,64.89,37.0,8.97,14.321,18.11,5154.0,4062.0,3.0,2.0,2.0,1.0,1.0,96.0,37.0,1.0,89.0,6.5,1.0,0.0,0.0,62.0,30.0,36.0,22.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,8.9,50.5,86.5,51.2,2.2,5.9,30.0,5.1,0.4,29.5,44.0,38.0,220386.0
212,26.5,6.92,48222.0,92.44,76.78,50.78,1.0,0.0,81.44,66.64,35.1,10.06,4.661,14.4,5116.0,4796.0,3.0,2.0,2.0,1.0,1.0,96.0,37.0,1.0,89.0,6.6,1.0,0.0,0.0,62.0,30.0,36.0,22.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,52.1,91.89,53.1,2.1,5.7,29.0,5.1,0.4,32.1,49.0,36.0,238291.0
213,26.5,10.03,48222.0,90.74,78.36,67.46,1.0,0.0,85.7,69.7,33.9,9.662,4.661,14.4,5368.0,3213.0,3.0,3.0,2.0,1.0,1.0,96.0,42.4,1.0,87.2,6.6,1.0,2.0,0.0,64.0,34.0,38.0,22.0,56.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,9.8,52.1,91.89,35.5,2.4,5.6,29.0,5.1,0.4,32.1,49.0,39.0,354861.0
214,26.5,14.94,48222.0,88.21,74.78,67.85,1.0,0.0,90.6,68.2,27.1,9.123,4.661,14.4,5486.0,3115.0,3.0,2.0,2.0,2.0,1.0,96.0,42.4,2.0,87.2,6.6,1.0,0.0,0.0,62.0,30.0,36.0,32.0,44.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,9.9,52.1,91.89,35.5,2.3,5.4,26.0,5.1,0.4,32.1,53.0,46.0,390377.0
215,79.0,79.28,4825403.0,100.0,99.0,99.0,2.0,2.0,99.99,100.0,68.1,0.577,0.812,0.63,2817.0,3765.0,4.0,2.0,2.0,2.0,3.0,80.0,81.1,2.0,96.0,11.9,3.0,0.0,2.0,54.0,38.0,28.0,26.0,46.9,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,7.2,53.9,100.0,63.1,2.0,6.5,75.0,8.2,0.5,84.9,86.0,77.0,2347833.0
216,79.5,109.16,5985423.0,100.0,99.0,99.0,2.0,2.0,100.0,100.0,69.6,0.577,0.812,0.6,2807.0,3786.0,4.0,2.0,2.0,2.0,3.0,80.0,91.0,2.0,96.0,12.0,3.0,0.0,2.0,54.0,38.0,28.0,26.0,46.9,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,7.3,53.9,100.0,94.1,2.0,6.4,77.0,8.3,0.5,87.5,85.0,83.0,2626028.0
217,80.2,124.48,8203481.0,100.0,99.0,99.0,2.0,2.0,100.0,100.0,70.7,0.577,0.657,0.46,2800.0,3811.0,4.0,2.0,2.0,2.0,3.0,80.0,91.0,2.0,96.0,12.0,3.0,0.0,2.0,54.0,38.0,28.0,26.0,46.9,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,7.4,53.9,100.0,95.3,2.0,6.3,77.0,8.3,0.6,89.4,86.0,77.0,2658068.0
218,92.3,145.6,10767262.0,100.0,99.0,99.0,2.0,2.0,100.0,100.0,71.7,0.577,0.657,0.46,2799.0,3768.0,4.0,2.0,2.0,2.0,3.0,92.0,90.5,2.0,96.0,12.0,3.0,0.0,2.0,62.0,50.0,28.0,26.0,46.9,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,7.4,53.9,100.0,95.3,2.0,6.1,76.0,8.2,0.6,90.5,86.0,77.0,2714679.0
219,94.1,177.3,14385291.0,100.0,99.0,99.0,2.0,2.0,100.0,100.0,84.6,0.151,0.657,0.46,2769.0,3834.0,4.0,2.0,2.0,2.0,3.0,80.0,90.5,2.0,96.0,12.0,3.0,0.0,2.0,54.0,38.0,28.0,26.0,48.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,7.5,53.9,100.0,95.6,2.0,6.0,76.0,8.2,0.7,91.7,86.0,86.0,2787835.0
220,75.6,44.73,51252.0,99.0,99.0,97.3,2.0,2.0,99.99,100.0,48.8,1.562,1.102,1.93,3582.0,2454.0,2.0,3.0,1.0,2.0,2.0,76.0,64.5,1.0,99.4,11.8,3.0,0.0,2.0,32.1,22.6,20.0,20.0,40.8,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,9.8,30.3,100.0,99.0,2.0,6.8,51.0,6.7,0.7,72.8,75.0,69.0,2718794.0
221,79.2,64.54,54980.0,99.0,99.0,98.0,2.0,2.0,100.0,100.0,49.7,1.562,0.879,1.86,3558.0,2452.0,2.0,3.0,1.0,1.0,2.0,92.0,79.0,1.0,99.4,11.8,3.0,1.0,2.0,46.0,42.0,26.0,20.0,75.5,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,9.7,30.6,100.0,99.0,1.5,6.7,48.0,6.7,0.7,79.3,75.0,72.0,2814523.0
