,1.1.4) Gender gap in internet access,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG17) Internet access gender gap,BG18) Mobile phone access gender gap,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
456,-4.7,17.02,117678.0,99.42,97.15,88.0,1.0,2.0,99.78,97.56,37.6,0.559,0.652,1.18,3647.0,5844.0,2.0,1.0,1.0,2.0,3.0,96.0,69.0,2.0,94.7,9.7,2.0,1.0,1.0,44.0,78.0,48.0,46.0,66.7,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,32.6,45.9,99.93,80.0,2.5,1.9,46.0,6.0,0.7,-4.0,4.0,74.9,2.607361963190184,2.7300613496932513,196243.5889570552
457,0.0,23.44,162864.0,99.42,98.0,90.0,2.0,2.0,99.78,97.56,65.1,0.559,1.261,1.28,3903.0,6779.0,2.0,2.0,2.0,2.0,3.0,76.9,69.0,2.0,95.3,9.7,2.0,1.0,2.0,57.7,44.2,28.8,42.3,47.7,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,33.4,45.9,100.0,80.0,2.4,1.9,49.0,6.1,0.7,0.0,1.0,94.2,2.5449101796407185,2.5449101796407185,199200.32934131738
458,0.0,35.89,248839.0,99.42,98.1,93.1,2.0,0.0,100.0,99.2,61.8,0.559,1.261,1.28,3975.0,5566.0,4.0,2.0,2.0,2.0,3.0,96.0,73.3,2.0,95.3,9.7,2.0,1.0,2.0,60.0,46.0,36.0,32.0,49.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,34.2,45.9,100.0,100.0,2.5,1.9,49.0,6.2,0.7,0.0,3.0,93.3,2.6023391812865495,2.6023391812865495,199469.9707602339
459,0.0,59.1,299866.0,99.99,98.86,94.2,2.0,0.0,99.8,97.5,44.6,0.596,1.261,1.28,4103.0,5384.0,4.0,2.0,2.0,2.0,3.0,94.0,73.3,2.0,95.3,9.7,3.0,2.0,2.0,54.0,48.0,36.0,14.0,60.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,35.0,45.9,100.0,100.0,2.4,1.9,53.0,6.2,0.8,0.0,2.0,95.7,2.6857142857142855,2.6857142857142855,194341.4
461,21.2,6.2,7224.0,97.4,50.0,8.6,2.0,2.0,90.0,43.49,35.2,5.23,5.577,15.46,3913.0,10000.0,1.0,1.0,1.0,1.0,2.0,88.0,30.0,0.0,42.8,2.9,3.0,2.0,2.0,50.0,58.0,44.0,26.0,79.6,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,15.4,40.3,61.7,5.0,1.9,6.2,45.0,5.7,0.3,7.0,10.0,25.7,2.142857142857143,1.6883116883116882,6386.558441558442
462,21.4,9.36,6804.0,97.7,66.29,36.5,2.0,1.0,90.0,43.49,31.1,4.396,4.026,24.0,3913.0,9900.0,2.0,2.0,0.0,1.0,2.0,72.0,30.0,0.0,51.9,3.0,3.0,3.0,2.0,28.0,50.0,38.0,28.0,55.3,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,15.8,40.3,66.96,83.2,1.8,6.1,45.0,5.7,0.3,6.0,2.0,29.6,1.7721518987341771,1.3924050632911391,7075.632911392405
463,5.0,16.84,6804.0,97.9,92.2,62.0,1.0,1.0,92.8,47.2,29.9,2.915,4.026,24.0,3926.0,9646.0,4.0,2.0,0.0,1.0,2.0,96.0,42.7,0.0,51.9,3.1,3.0,3.0,2.0,52.0,40.0,48.0,42.0,58.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,16.3,40.3,66.96,83.2,1.8,6.1,45.0,5.7,0.3,2.0,8.0,29.6,2.4539877300613497,2.331288343558282,7964.41717791411
464,21.7,21.21,6804.0,98.0,92.1,66.8,1.0,1.0,93.6,49.8,37.1,3.114,4.026,24.0,4076.0,9589.0,4.0,1.0,0.0,1.0,2.0,82.0,42.7,0.0,51.9,3.1,3.0,3.0,2.0,44.0,40.0,50.0,36.0,42.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,16.7,40.3,66.96,46.3,1.8,5.8,45.0,5.7,0.4,10.0,7.0,29.6,2.754491017964072,2.155688622754491,9104.610778443113
467,56.2,6.33,12537.0,90.0,40.02,0.0,0.0,2.0,18.57,20.2,11.4,25.861,37.501,37.5,5699.0,5710.0,2.0,1.0,1.0,1.0,1.0,86.0,16.0,1.0,48.4,3.3,0.0,1.0,0.0,44.0,42.0,38.0,28.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.7,35.7,26.1,3.0,1.7,4.7,30.0,5.0,0.3,9.0,9.0,13.2,2.0779220779220777,0.9090909090909091,15823.506493506493
468,26.3,9.03,12537.0,74.0,50.0,0.0,0.0,2.0,55.0,3.4,15.2,9.858,37.501,37.5,5070.0,5526.0,3.0,1.0,1.0,1.0,1.0,86.0,20.1,1.0,48.4,3.6,0.0,1.0,0.0,44.0,42.0,38.0,28.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.8,35.7,26.1,4.2,1.8,4.7,30.0,5.0,0.3,5.0,9.0,13.2,2.435897435897436,1.794871794871795,17231.28205128205
469,26.3,10.18,12537.0,80.0,60.0,35.0,0.0,0.0,52.2,5.8,17.0,8.24,37.501,37.5,4805.0,5497.0,3.0,0.0,1.0,1.0,1.0,80.0,20.1,1.0,43.2,3.6,0.0,0.0,0.0,50.0,40.0,38.0,20.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,35.7,26.1,4.2,1.8,4.9,33.0,5.0,0.3,5.0,14.0,13.2,2.375,1.75,19663.5
